"","Naziv_jedinice","Godina","Županija","Status","Stopa_prireza","Iznos_prireza","Broj_stanovnika","Iznos_prireza_po_stanovniku"
"1","ANDRIJAŠEVCI",2008,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.08,335580.7,4076,82.3308881256134
"2","ANDRIJAŠEVCI",2009,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.08,296293.57,4072,72.7636468565815
"3","ANDRIJAŠEVCI",2010,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.08,260654.2,4081,63.870178877726
"4","ANDRIJAŠEVCI",2011,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.08,316817.23,4067,77.8994910253258
"5","ANDRIJAŠEVCI",2012,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.08,228548.54,4066,56.2096753566158
"6","ANDRIJAŠEVCI",2013,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.08,263837.8018,4077,64.7137115035565
"7","ANDRIJAŠEVCI",2014,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.08,284406.6067,4077,69.7587948736816
"8","ANDRIJAŠEVCI",2015,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.08,153376.029,4019,38.1627342622543
"9","ANDRIJAŠEVCI",2016,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.08,198947.495,3984,49.9366202309237
"10","ANDRIJAŠEVCI",2017,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.08,145754.089481,3914,37.2391644049566
"11","ANDRIJAŠEVCI",2018,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.08,248705.305059,3804,65.3799434960568
"12","ANDRIJAŠEVCI",2019,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.08,299809.173625,3748,79.9917752467983
"13","ANDRIJAŠEVCI",2020,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.08,286860.427158,3713,77.2583967568004
"14","ANDRIJAŠEVCI",2021,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0.08,288861.895461,3441,83.9470780183086
"15","ANTUNOVAC",2008,"XIV OSJEČKO-BARANJSKA","OPĆINA",0,0,3648,0
"16","ANTUNOVAC",2009,"XIV OSJEČKO-BARANJSKA","OPĆINA",0,0,3694,0
"17","ANTUNOVAC",2010,"XIV OSJEČKO-BARANJSKA","OPĆINA",0.05,0,3714,0
"18","ANTUNOVAC",2011,"XIV OSJEČKO-BARANJSKA","OPĆINA",0.05,0,3730,0
"19","ANTUNOVAC",2012,"XIV OSJEČKO-BARANJSKA","OPĆINA",0.05,0,3722,0
"20","ANTUNOVAC",2013,"XIV OSJEČKO-BARANJSKA","OPĆINA",0.05,0,3734,0
"21","ANTUNOVAC",2014,"XIV OSJEČKO-BARANJSKA","OPĆINA",0.1,466801.838,3709,125.856521434349
"22","ANTUNOVAC",2015,"XIV OSJEČKO-BARANJSKA","OPĆINA",0.1,221827.6666,3670,60.4435058855586
"23","ANTUNOVAC",2016,"XIV OSJEČKO-BARANJSKA","OPĆINA",0.1,318321.1638,3664,86.8780468886463
"24","ANTUNOVAC",2017,"XIV OSJEČKO-BARANJSKA","OPĆINA",0.1,286454.658475,3585,79.9036704253835
"25","ANTUNOVAC",2018,"XIV OSJEČKO-BARANJSKA","OPĆINA",0.1,416476.417809,3551,117.284262970712
"26","ANTUNOVAC",2019,"XIV OSJEČKO-BARANJSKA","OPĆINA",0.1,495806.182765,3506,141.4164811081
"27","ANTUNOVAC",2020,"XIV OSJEČKO-BARANJSKA","OPĆINA",0.1,481512.339916,3471,138.724384879286
"28","ANTUNOVAC",2021,"XIV OSJEČKO-BARANJSKA","OPĆINA",0,0,3411,0
"29","BABINA GREDA",2008,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0,0,3645,0
"30","BABINA GREDA",2009,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0,0,3651,0
"31","BABINA GREDA",2010,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0,0,3591,0
"32","BABINA GREDA",2011,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA",0,0,3551,0
