"","Naziv_jedinice","Godina","Šifra_Ž","Županija","Status","Šifra_GO","Stopa_prireza","Objava","Datum_primjene","Iznos_prireza","Broj_stanovnika"
"1","ANDRIJAŠEVCI",2002,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00019",0,"-","-",NA,4122
"2","ANDRIJAŠEVCI",2003,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00019",0.08,"NN 6/03","01.01.2003.",NA,4120
"3","ANDRIJAŠEVCI",2004,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00019",0.08,"NN 6/03","01.01.2003.",NA,4122
"4","ANDRIJAŠEVCI",2005,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00019",0.08,"NN 6/03","01.01.2003.",NA,4112
"5","ANDRIJAŠEVCI",2006,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00019",0.08,"NN 6/03","01.01.2003.",NA,4114
"6","ANDRIJAŠEVCI",2007,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00019",0.08,"NN 6/03","01.01.2003.",NA,4092
"7","ANDRIJAŠEVCI",2008,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00019",0.08,"NN 6/03","01.01.2003.",335580.7,4076
"8","ANDRIJAŠEVCI",2009,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00019",0.08,"NN 6/03","01.01.2003.",296293.57,4072
"9","ANDRIJAŠEVCI",2010,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00019",0.08,"NN 6/03","01.01.2003.",260654.2,4081
"10","ANDRIJAŠEVCI",2011,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00019",0.08,"NN 6/03","01.01.2003.",316817.23,4067
"11","ANDRIJAŠEVCI",2012,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00019",0.08,"NN 6/03","01.01.2003.",228548.54,4066
"12","ANDRIJAŠEVCI",2013,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00019",0.08,"NN 6/03","01.01.2003.",263837.8018,4077
"13","ANDRIJAŠEVCI",2014,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00019",0.08,"NN 6/03","01.01.2003.",284406.6067,4077
"14","ANDRIJAŠEVCI",2015,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00019",0.08,"NN 6/03","01.01.2003.",153376.029,4019
"15","ANDRIJAŠEVCI",2016,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00019",0.08,"NN 6/03","01.01.2003.",198947.495,3984
"16","ANDRIJAŠEVCI",2017,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00019",0.08,"NN 6/03","01.01.2003.",145754.089481,3914
"17","ANDRIJAŠEVCI",2018,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00019",0.08,"NN 6/03","01.01.2003.",248705.305059,3804
"18","ANDRIJAŠEVCI",2019,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00019",0.08,"NN 6/03","01.01.2003.",299809.173625,3748
"19","ANDRIJAŠEVCI",2020,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00019",0.08,"NN 6/03","01.01.2003.",286860.427158,3713
"20","ANDRIJAŠEVCI",2021,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00019",0.08,"NN 6/03","01.01.2003.",288861.895461,3441
"21","ANDRIJAŠEVCI",2022,16,"XVI VUKOVARSKO-SRIJEMSKA","OPĆINA","00019",0.08,"NN 6/03","01.01.2003.",NA,NA
"22","ANTUNOVAC",2002,14,"XIV OSJEČKO-BARANJSKA","OPĆINA","00027",0,"-","-",NA,3615
"23","ANTUNOVAC",2003,14,"XIV OSJEČKO-BARANJSKA","OPĆINA","00027",0,"-","-",NA,3599
